Release Date,Movie,Production Budget,Domestic Gross,Worldwide Gross,IMDB Rating,Runtime,Genre,Metascore,Directors,Stars,Director,Writer,Cast,Country of Origin,Languages
2013.0,Star Trek Into Darkness,190000000,228778661,467381584,7.7,132,Action,72.0,J,"['Chris Pine', 'Zachary Quinto', 'Zoe Saldana', 'Benedict Cumberbatch']",J.J. Abrams,"Roberto Orci, Alex Kurtzman, Damon Lindelof","Chris Pine, Zachary Quinto, Zoe Saldana, Benedict Cumberbatch, Leonard Nimoy, Karl Urban, Simon Pegg, John Cho, Anton Yelchin, Bruce Greenwood, Peter Weller, Alice Eve, Noel Clarke, Nazneen Contractor, Amanda Foreman, Jay Scully, Jonathan Dixon, Aisha Hinds",United States,"English, Klingon"
2013.0,The Great Gatsby,190000000,144840419,353640419,7.2,143,Drama,55.0,Baz Luhrmann,"['Leonardo DiCaprio', 'Carey Mulligan', 'Joel Edgerton', 'Tobey Maguire']",Baz Luhrmann,"Baz Luhrmann, Craig Pearce, F. Scott Fitzgerald","Leonardo DiCaprio, Carey Mulligan, Joel Edgerton, Tobey Maguire, Lisa Adam, Frank Aldridge, Amitabh Bachchan, Steve Bisley, Richard Carter, Jason Clarke, Adelaide Clemens, Vince Colosimo, Max Cullen, Mal Day, Elizabeth Debicki, Emmanuel Ekwensi, Eden Falk, Isla Fisher",Australia,English
2008.0,Iron Man,186000000,318604126,585171547,7.9,126,Action,79.0,Jon Favreau,"['Robert Downey Jr.', 'Gwyneth Paltrow', 'Terrence Howard', 'Jeff Bridges']",Jon Favreau,"Mark Fergus, Hawk Ostby, Art Marcum","Robert Downey Jr., Gwyneth Paltrow, Terrence Howard, Jeff Bridges, Leslie Bibb, Shaun Toub, Faran Tahir, Clark Gregg, Bill Smitrovich, Sayed Badreya, Paul Bettany, Jon Favreau, Peter Billingsley, Tim Guinee, Will Lyman, Tom Morello, Marco Khan, Dastan Khalili",United States,"English, Persian, Urdu, Arabic, Kurdish, Hindi, Hungarian"
2008.0,The Dark Knight,185000000,533720947,998615789,9.0,152,Action,84.0,Christopher Nolan,"['Christian Bale', 'Heath Ledger', 'Aaron Eckhart', 'Michael Caine']",Christopher Nolan,"Jonathan Nolan, Christopher Nolan, David S. Goyer","Christian Bale, Heath Ledger, Aaron Eckhart, Michael Caine, Maggie Gyllenhaal, Gary Oldman, Morgan Freeman, Monique Gabriela Curnen, Ron Dean, Cillian Murphy, Chin Han, Nestor Carbonell, Eric Roberts, Ritchie Coster, Anthony Michael Hall, Keith Szarabajka, Colin McFarlane, Joshua Harto",United States,"English, Mandarin"
2017.0,Blade Runner 2049,185000000,92054159,258829058,8.0,164,Action,81.0,Denis Villeneuve,"['Harrison Ford', 'Ryan Gosling', 'Ana de Armas', 'Dave Bautista']",Denis Villeneuve,"Hampton Fancher, Michael Green, Philip K. Dick","Harrison Ford, Ryan Gosling, Ana de Armas, Dave Bautista, Robin Wright, Mark Arnold, Vilma Szécsi, Wood Harris, David Dastmalchian, Tómas Lemarquis, Sylvia Hoeks, Edward James Olmos, Jared Leto, Sallie Harmsen, Hiam Abbass, Mackenzie Davis, Krista Kosonen, Elarica Johnson",United States,English
2021.0,The Suicide Squad,185000000,55800219,167250021,7.2,132,Action,72.0,James Gunn,"['Margot Robbie', 'Idris Elba', 'John Cena', 'Joel Kinnaman']",James Gunn,James Gunn,"Margot Robbie, Idris Elba, John Cena, Joel Kinnaman, Michael Rooker, Viola Davis, John Ostrander, Nathan Fillion, Jai Courtney, Flula Borg, Mayling Ng, Pete Davidson, Sean Gunn, Stephen Blackehart, Steve Agee, Tinashe Kajese, Jennifer Holland, Fernando Martinez",United States,"English, Spanish, Japanese, Cantonese"
2017.0,Thor: Ragnarok,180000000,315058289,850482778,7.9,130,Action,74.0,Taika Waititi,"['Chris Hemsworth', 'Tom Hiddleston', 'Cate Blanchett', 'Mark Ruffalo']",Taika Waititi,"Eric Pearson, Craig Kyle, Christopher L. Yost","Chris Hemsworth, Tom Hiddleston, Cate Blanchett, Mark Ruffalo, Idris Elba, Jeff Goldblum, Tessa Thompson, Karl Urban, Anthony Hopkins, Benedict Cumberbatch, Taika Waititi, Rachel House, Clancy Brown, Tadanobu Asano, Ray Stevenson, Zachary Levi, Georgia Blizzard, Amali Golden",United States,English
2016.0,Fantastic Beasts and Where to Find Them,180000000,234037575,811724385,7.2,132,Adventure,66.0,David Yates,"['Eddie Redmayne', 'Katherine Waterston', 'Alison Sudol', 'Dan Fogler']",David Yates,J.K. Rowling,"Eddie Redmayne, Katherine Waterston, Alison Sudol, Dan Fogler, Sam Redford, Scott Goldman, Tim Bentinck, Tristan Tait, Colin Farrell, Tom Clarke Hill, Matthew Sim, Samantha Morton, Ezra Miller, Faith Wood-Blagrove, Jenn Murray, Cory Peterson, Lucie Pohl, Peter Breitmayer",United Kingdom,"English, Central Khmer"
2014.0,Edge of Tomorrow,178000000,100206256,367028980,7.9,113,Action,71.0,Doug Liman,"['Tom Cruise', 'Emily Blunt', 'Bill Paxton', 'Brendan Gleeson']",Doug Liman,"Christopher McQuarrie, Jez Butterworth, John-Henry Butterworth","Tom Cruise, Emily Blunt, Bill Paxton, Brendan Gleeson, Jonas Armstrong, Tony Way, Kick Gurry, Franz Drameh, Dragomir Mrsic, Charlotte Riley, Masayoshi Haneda, Terence Maynard, Noah Taylor, Lara Pulver, Madeleine Mantock, Assly Zandry, Sebastian Blunt, Beth Goddard",United States,English
2015.0,Inside Out,175000000,356461711,853641066,8.1,95,Animation,94.0,Pete Docter,"['Ronnie Del Carmen', 'Amy Poehler', 'Bill Hader', 'Lewis Black', 'Mindy Kaling']","Pete Docter, Ronnie Del Carmen","Pete Docter, Ronnie Del Carmen, Meg LeFauve","Amy Poehler, Bill Hader, Lewis Black, Mindy Kaling, Phyllis Smith, Richard Kind, Kaitlyn Dias, Diane Lane, Kyle MacLachlan, Paula Poundstone, Bobby Moynihan, Paula Pell, Dave Goelz, Frank Oz, Josh Cooley, Flea, John Ratzenberger, Carlos Alazraqui",United States,"English, Portuguese, Latvian"
2017.0,Spider-Man: Homecoming,175000000,334201140,880166350,7.4,133,Action,73.0,Jon Watts,"['Tom Holland', 'Michael Keaton', 'Robert Downey Jr.', 'Marisa Tomei']",Jon Watts,"Jonathan Goldstein, John Francis Daley, Jon Watts","Tom Holland, Michael Keaton, Robert Downey Jr., Marisa Tomei, Jon Favreau, Gwyneth Paltrow, Zendaya, Donald Glover, Jacob Batalon, Laura Harrier, Tony Revolori, Bokeem Woodbine, Tyne Daly, Abraham Attah, Hannibal Buress, Kenneth Choi, Selenis Leyva, Angourie Rice",United States,"English, Spanish"
2009.0,Up,175000000,293004164,731463377,8.3,96,Animation,88.0,Pete Docter,"['Bob Peterson', 'Edward Asner', 'Jordan Nagai', 'John Ratzenberger', 'Christopher Plummer']","Pete Docter, Bob Peterson","Pete Docter, Bob Peterson, Tom McCarthy","Edward Asner, Jordan Nagai, John Ratzenberger, Christopher Plummer, Bob Peterson, Delroy Lindo, Jerome Ranft, David Kaye, Elie Docter, Jeremy Leary, Mickie McGowan, Danny Mann, Donald Fullilove, Jess Harnell, Josh Cooley, Pete Docter, Mark Andrews, Bob Bergen",United States,English
2017.0,Coco,175000000,210460015,797666425,8.4,105,Animation,81.0,Lee Unkrich,"['Adrian Molina', 'Anthony Gonzalez', 'Gael García Bernal', 'Benjamin Bratt', 'Alanna Ubach']","Lee Unkrich, Adrian Molina","Lee Unkrich, Jason Katz, Matthew Aldrich","Anthony Gonzalez, Gael García Bernal, Benjamin Bratt, Alanna Ubach, Renee Victor, Jaime Camil, Alfonso Arau, Herbert Siguenza, Gabriel Iglesias, Lombardo Boyar, Ana Ofelia Murguía, Natalia Cordova-Buckley, Selene Luna, Edward James Olmos, Sofía Espinosa, Carla Medina, Dyana Ortelli, Luis Valdez",United States,"English, Spanish"
2014.0,Guardians of the Galaxy,170000000,333714112,770882395,8.0,121,Action,76.0,James Gunn,"['Chris Pratt', 'Vin Diesel', 'Bradley Cooper', 'Zoe Saldana']",James Gunn,"James Gunn, Nicole Perlman, Dan Abnett","Chris Pratt, Vin Diesel, Bradley Cooper, Zoe Saldana, Dave Bautista, Lee Pace, Michael Rooker, Karen Gillan, Djimon Hounsou, John C. Reilly, Glenn Close, Benicio Del Toro, Laura Haddock, Sean Gunn, Peter Serafinowicz, Christopher Fairbank, Krystian Godlewski, Wyatt Oleff",United States,English
2014.0,Dawn of the Planet of the Apes,170000000,208545589,710644566,7.6,130,Action,79.0,Matt Reeves,"['Gary Oldman', 'Keri Russell', 'Andy Serkis', 'Kodi Smit-McPhee']",Matt Reeves,"Mark Bomback, Rick Jaffa, Amanda Silver","Gary Oldman, Keri Russell, Andy Serkis, Kodi Smit-McPhee, Jason Clarke, Toby Kebbell, Kirk Acevedo, Nick Thurston, Terry Notary, Karin Konoval, Judy Greer, Jon Eyez, Enrique Murciano, Larramie Doc Shaw, Lee Ross, Keir O'Donnell, Kevin Rankin, Jocko Sims",United States,"English, American Sign Language"
2019.0,Alita: Battle Angel,170000000,85838210,401900040,7.3,122,Action,53.0,Robert Rodriguez,"['Rosa Salazar', 'Christoph Waltz', 'Jennifer Connelly', 'Mahershala Ali']",Robert Rodriguez,"James Cameron, Laeta Kalogridis, Yukito Kishiro","Rosa Salazar, Christoph Waltz, Jennifer Connelly, Mahershala Ali, Ed Skrein, Jackie Earle Haley, Keean Johnson, Jorge Lendeborg Jr., Lana Condor, Idara Victor, Jeff Fahey, Eiza González, Derek Mears, Leonard Wu, Racer Rodriguez, Marko Zaror, Rick Yune, Hugo Perez",Japan,"English, Spanish"
2016.0,Doctor Strange,165000000,232641920,676354481,7.5,115,Action,72.0,Scott Derrickson,"['Benedict Cumberbatch', 'Chiwetel Ejiofor', 'Rachel McAdams', 'Benedict Wong']",Scott Derrickson,"Jon Spaihts, Scott Derrickson, C. Robert Cargill","Benedict Cumberbatch, Chiwetel Ejiofor, Rachel McAdams, Benedict Wong, Mads Mikkelsen, Tilda Swinton, Michael Stuhlbarg, Benjamin Bratt, Scott Adkins, Zara Phythian, Alaa Safi, Katrina Durden, Topo Wresniwiro, Umit Ulgen, Linda Louise Duan, Mark Anthony Brighton, Meera Syal, Amy Landecker",United States,English
2010.0,How to Train Your Dragon,165000000,217581232,494870992,8.1,98,Animation,75.0,Dean DeBlois,"['Chris Sanders', 'Jay Baruchel', 'Gerard Butler', 'Christopher Mintz-Plasse', 'Craig Ferguson']","Dean DeBlois, Chris Sanders","William Davies, Dean DeBlois, Chris Sanders","Jay Baruchel, Gerard Butler, Christopher Mintz-Plasse, Craig Ferguson, America Ferrera, Jonah Hill, T.J. Miller, Kristen Wiig, Robin Atkin Downes, Philip McGrade, Kieron Elliott, Ashley Jensen, David Tennant, Randy Thom",United States,English
2012.0,Wreck-It Ralph,165000000,189412677,496511521,7.7,101,Animation,72.0,Rich Moore,"['John C. Reilly', 'Jack McBrayer', 'Jane Lynch', 'Sarah Silverman']",Rich Moore,"Rich Moore, Phil Johnston, Jim Reardon","John C. Reilly, Jack McBrayer, Jane Lynch, Sarah Silverman, Alan Tudyk, Mindy Kaling, Joe Lo Truglio, Ed O'Neill, Dennis Haysbert, Edie McClurg, Raymond S. Persi, Jess Harnell, Rachael Harris, Skylar Astin, Adam Carolla, Horatio Sanz, Maurice LaMarche, Stefanie Scott",United States,English
2014.0,Interstellar,165000000,188017894,651994868,8.7,169,Adventure,74.0,Christopher Nolan,"['Matthew McConaughey', 'Anne Hathaway', 'Jessica Chastain', 'Mackenzie Foy']",Christopher Nolan,"Jonathan Nolan, Christopher Nolan","Matthew McConaughey, Anne Hathaway, Jessica Chastain, Mackenzie Foy, Ellen Burstyn, John Lithgow, Timothée Chalamet, David Oyelowo, Collette Wolfe, Francis X. McCarthy, Bill Irwin, Andrew Borba, Wes Bentley, William Devane, Michael Caine, David Gyasi, Josh Stewart, Casey Affleck",United States,English
2010.0,Inception,160000000,292576195,728582465,8.8,148,Action,74.0,Christopher Nolan,"['Leonardo DiCaprio', 'Joseph Gordon-Levitt', 'Elliot Page', 'Ken Watanabe']",Christopher Nolan,Christopher Nolan,"Leonardo DiCaprio, Joseph Gordon-Levitt, Elliot Page, Ken Watanabe, Tom Hardy, Dileep Rao, Cillian Murphy, Tom Berenger, Marion Cotillard, Pete Postlethwaite, Michael Caine, Lukas Haas, Tai-Li Lee, Claire Geare, Magnus Nolan, Taylor Geare, Johnathan Geare, Tohoru Masamune",United States,"English, Japanese, French"
2019.0,The Irishman,159000000,0,910234,7.8,209,Biography,94.0,Martin Scorsese,"['Robert De Niro', 'Al Pacino', 'Joe Pesci', 'Harvey Keitel']",Martin Scorsese,"Steven Zaillian, Charles Brandt","Robert De Niro, Al Pacino, Joe Pesci, Harvey Keitel, Ray Romano, Bobby Cannavale, Anna Paquin, Stephen Graham, Stephanie Kurtzuba, Jack Huston, Kathrine Narducci, Jesse Plemons, Domenick Lombardozzi, Paul Herman, Gary Basaraba, Marin Ireland, Lucy Gallina, Jonathan Morris",United States,"English, Italian, Latin, Spanish, German"
2017.0,War for the Planet of the Apes,152000000,146880162,489592267,7.4,140,Action,82.0,Matt Reeves,"['Andy Serkis', 'Woody Harrelson', 'Steve Zahn', 'Karin Konoval']",Matt Reeves,"Mark Bomback, Matt Reeves, Rick Jaffa","Andy Serkis, Woody Harrelson, Steve Zahn, Karin Konoval, Amiah Miller, Terry Notary, Ty Olsson, Michael Adamthwaite, Toby Kebbell, Gabriel Chavarria, Judy Greer, Sara Canning, Devyn Dalton, Aleks Paunovic, Alessandro Juliani, Max Lloyd-Jones, Timothy Webber, Lauro David Chartrand-Del Valle",United States,"English, American Sign Language"
2013.0,Frozen,150000000,400953009,1265767173,7.4,102,Animation,75.0,Chris Buck,"['Jennifer Lee', 'Kristen Bell', 'Idina Menzel', 'Jonathan Groff', 'Josh Gad']","Chris Buck, Jennifer Lee","Jennifer Lee, Hans Christian Andersen, Chris Buck","Kristen Bell, Idina Menzel, Jonathan Groff, Josh Gad, Santino Fontana, Alan Tudyk, Ciarán Hinds, Chris Williams, Stephen J. Anderson, Maia Wilson, Edie McClurg, Robert Pine, Maurice LaMarche, Livvy Stubenrauch, Eva Bella, Spencer Lacey Ganus, Jesse Corti, Jeffrey Marcus",United States,English
2016.0,Zootopia,150000000,341268248,1004629935,8.0,108,Animation,78.0,Byron Howard,"['Rich Moore', 'Jared Bush', 'Ginnifer Goodwin', 'Jason Bateman', 'Idris Elba', 'Jenny Slate']","Byron Howard, Rich Moore, Jared Bush","Byron Howard, Rich Moore, Jared Bush","Ginnifer Goodwin, Jason Bateman, Idris Elba, Jenny Slate, Nate Torrence, Bonnie Hunt, Don Lake, Tommy Chong, J.K. Simmons, Octavia Spencer, Alan Tudyk, Shakira, Raymond S. Persi, Della Saba, Maurice LaMarche, Phil Johnston, Fuschia!, John DiMaggio",United States,English
2007.0,Harry Potter and the Order of the Phoenix,150000000,292137260,940043931,7.5,138,Action,71.0,David Yates,"['Daniel Radcliffe', 'Emma Watson', 'Rupert Grint', 'Brendan Gleeson']",David Yates,"Michael Goldenberg, J.K. Rowling","Daniel Radcliffe, Emma Watson, Rupert Grint, Brendan Gleeson, Harry Melling, Jason Boyd, Richard Macklin, Kathryn Hunter, Miles Jupp, Fiona Shaw, Richard Griffiths, Jessica Hynes, Adrian Rawlins, Geraldine Somerville, Robert Pattinson, Ralph Fiennes, Natalia Tena, George Harris",United Kingdom,"English, Latin"
